"User ID","subscription_duration_days"
2,655
48,647
28,635
58,624
18,614
117,601
38,596
68,592
127,577
13,574
23,569
7,563
76,544
87,542
92,539
26,531
53,530
33,522
17,517
66,513
1,511
71,510
93,506
43,505
46,489
63,489
36,483
95,482
186,481
105,480
86,478
98,478
97,476
107,474
164,472
56,469
6,466
94,463
106,463
102,456
24,449
103,448
163,447
16,446
115,446
167,443
176,439
166,436
162,432
245,432
314,431
175,430
174,428
44,426
244,426
172,425
184,425
315,425
122,421
171,421
246,418
140,417
145,417
113,415
236,414
141,412
185,409
182,405
384,405
235,404
254,403
11,402
255,402
324,401
385,401
116,400
253,400
177,399
243,398
305,398
34,397
108,397
123,397
234,397
165,396
183,396
313,396
454,396
312,395
75,394
316,394
325,394
453,394
394,393
112,392
241,392
252,392
256,392
455,392
323,391
383,391
392,390
463,390
464,390
532,390
601,390
242,389
594,389
602,389
322,388
393,388
456,388
525,388
533,388
534,388
593,388
173,387
523,387
524,387
535,387
671,387
395,386
465,386
603,386
604,386
670,386
672,386
741,386
311,385
466,385
592,385
742,385
810,385
811,385
812,385
881,385
382,384
605,384
880,384
882,384
304,383
462,383
664,383
673,383
674,383
675,383
743,383
744,383
745,383
104,382
396,382
595,382
813,382
814,382
815,382
326,381
374,381
606,381
663,381
676,381
883,381
884,381
196,380
303,380
536,380
746,380
951,380
952,380
662,379
885,379
953,379
1022,379
1023,379
42,378
600,378
607,378
740,378
954,378
1091,378
1160,378
142,377
310,377
531,377
803,377
816,377
955,377
1093,377
1161,377
1510,377
1580,377
181,376
375,376
461,376
677,376
733,376
734,376
879,376
1021,376
1024,376
1092,376
1162,376
1163,376
1232,376
1301,376
1370,376
1440,376
1508,376
452,375
521,375
522,375
537,375
596,375
665,375
731,375
732,375
804,375
872,375
950,375
1020,375
1025,375
1094,375
1233,375
1302,375
1371,375
1372,375
1374,375
1439,375
1442,375
1582,375
1650,375
1720,375
538,374
591,374
669,374
873,374
874,374
942,374
1095,374
1164,374
1231,374
1300,374
1441,374
1509,374
1512,374
1652,374
1790,374
257,373
373,373
526,373
802,373
943,373
944,373
1230,373
1234,373
1303,373
1367,373
1369,373
1373,373
1443,373
1444,373
1511,373
1581,373
1649,373
1651,373
1718,373
376,372
739,372
801,372
886,372
940,372
956,372
1087,372
1090,372
1158,372
1227,372
1228,372
1229,372
1298,372
1436,372
1438,372
1513,372
1579,372
1719,372
1721,372
1722,372
1789,372
1792,372
64,371
530,371
608,371
808,371
809,371
948,371
1017,371
1018,371
1019,371
1088,371
1089,371
1156,371
1157,371
1159,371
1165,371
1368,371
1437,371
1504,371
1506,371
1514,371
1578,371
1583,371
1648,371
1858,371
1860,371
1862,371
321,370
738,370
871,370
1012,370
1013,370
1026,370
1086,370
1297,370
1304,370
1366,370
1505,370
1584,370
1653,370
1791,370
132,369
391,369
445,369
467,369
735,369
747,369
800,369
878,369
887,369
949,369
957,369
1014,369
1082,369
1083,369
1084,369
1153,369
1226,369
1235,369
1292,369
1294,369
1299,369
1363,369
1507,369
1654,369
1723,369
1724,369
1861,369
1926,369
1928,369
444,368
666,368
730,368
875,368
876,368
877,368
941,368
945,368
946,368
947,368
1081,368
1152,368
1154,368
1222,368
1223,368
1224,368
1293,368
1295,368
1296,368
1306,368
1364,368
1375,368
1434,368
1435,368
1503,368
1788,368
1793,368
1859,368
133,367
251,367
660,367
807,367
1010,367
1015,367
1016,367
1096,367
1150,367
1220,367
1289,367
1291,367
1305,367
1362,367
1365,367
1376,367
1433,367
1576,367
1646,367
1655,367
1794,367
1930,367
1932,367
2002,367
192,366
202,366
597,366
661,366
678,366
805,366
817,366
1085,366
1151,366
1225,366
1236,366
1290,366
1445,366
1515,366
1577,366
1857,366
1863,366
1864,366
1927,366
1998,366
2068,366
2072,366
446,365
469,365
667,365
736,365
819,365
888,365
1155,365
1166,365
1361,365
1432,365
1585,365
1787,365
1795,365
1999,365
2000,365
2138,365
